Season,Team,Player,Salary
2004-05,Cleveland Cavaliers,Luke Jackson,1818720
2004-05,Cleveland Cavaliers,Robert Traylor,1600000
2004-05,Cleveland Cavaliers,Scott Williams,1600000
2004-05,Cleveland Cavaliers,Aleksandar Pavlovic,1191000
2004-05,Cleveland Cavaliers,Steven Hunter,1000000
2004-05,Cleveland Cavaliers,Anderson Varejao,788000
2004-05,Dallas Mavericks,Michael Finley,14609375
2004-05,Dallas Mavericks,Dirk Nowitzki,12584688
2004-05,Dallas Mavericks,Alan Henderson,8273125
2004-05,Dallas Mavericks,Erick Dampier,7700000
2004-05,Dallas Mavericks,Jason Terry,7500000
2004-05,Dallas Mavericks,Jerry Stackhouse,7437500
2004-05,Dallas Mavericks,Tariq Abdul-Wahad,6750000
2004-05,Dallas Mavericks,Calvin Booth,5900700
2004-05,Dallas Mavericks,Marquis Daniels,4903000
2004-05,Dallas Mavericks,Shawn Bradley,4000000
2004-05,Dallas Mavericks,Evan Eschmeyer,3407655
2004-05,Dallas Mavericks,Devin Harris,2741880
2004-05,Dallas Mavericks,Darrell Armstrong,2275000
2004-05,Dallas Mavericks,Avery Johnson,1100000
2004-05,Dallas Mavericks,Pavel Podkolzin,1061880
2004-05,Dallas Mavericks,Josh Howard,863640
2004-05,Dallas Mavericks,D.J. Mbenga,800000
2004-05,Denver Nuggets,Kenyon Martin,9454546
2004-05,Denver Nuggets,Marcus Camby,8500000
2004-05,Denver Nuggets,Andre Miller,7366667
2004-05,Denver Nuggets,Carmelo Anthony,3471360
2004-05,Denver Nuggets,Voshon Lenard,3250000
2004-05,Denver Nuggets,Nikoloz Tskitishvili,2910600
2004-05,Denver Nuggets,Earl Boykins,2500000
2004-05,Denver Nuggets,Nene Hilario,2260280
2004-05,Denver Nuggets,Rodney White,1797845
2004-05,Denver Nuggets,Bryon Russell,1100000
2004-05,Denver Nuggets,Greg Buckner,870046
2004-05,Denver Nuggets,Mark Pope,870046
2004-05,Denver Nuggets,DerMarr Johnson,745046
2004-05,Denver Nuggets,Francisco Elson,620046
2004-05,Denver Nuggets,Arthur Johnson,385277
2004-05,Detroit Pistons,Rasheed Wallace,9720000
2004-05,Detroit Pistons,Richard Hamilton,7812500
2004-05,Detroit Pistons,Ben Wallace,7000000
2004-05,Detroit Pistons,Chauncey Billups,5455200
2004-05,Detroit Pistons,Antonio McDyess,4903000
2004-05,Detroit Pistons,Derrick Coleman,4500000
2004-05,Detroit Pistons,Elden Campbell,4400000
2004-05,Detroit Pistons,Darko Milicic,3865440
2004-05,Detroit Pistons,Lindsey Hunter,1600000
2004-05,Detroit Pistons,Tayshaun Prince,1038960
2004-05,Detroit Pistons,Amal McCaskill,932546
2004-05,Detroit Pistons,Darvin Ham,932546
2004-05,Detroit Pistons,Carlos Delfino,901920
2004-05,Detroit Pistons,Smush Parker,695046
2004-05,Detroit Pistons,Ronald Dupree,620046
2004-05,Detroit Pistons,Horace Jenkins,385277
2004-05,Golden State Warriors,Dale Davis,10068750
2004-05,Golden State Warriors,Adonal Foyle,6500000
2004-05,Golden State Warriors,Christian Laettner,5500000
2004-05,Golden State Warriors,Clifford Robinson,5287500
2004-05,Golden State Warriors,Derek Fisher,4903000
2004-05,Golden State Warriors,Eduardo Najera,3809524
2004-05,Golden State Warriors,Mike Dunleavy,3565080
2004-05,Golden State Warriors,Jason Richardson,3534018
2004-05,Golden State Warriors,Speedy Claxton,3300000
2004-05,Golden State Warriors,Troy Murphy,2231808
2004-05,Golden State Warriors,Mickael Pietrus,1785960
2004-05,Golden State Warriors,Andris Biedrins,1727760
2004-05,Golden State Warriors,Calbert Cheaney,1600000
2004-05,Golden State Warriors,Ansu Sesay,745046
2004-05,Golden State Warriors,Luis Flores,385277
2004-05,Houston Rockets,Tracy McGrady,14487000
2004-05,Houston Rockets,Maurice Taylor,8450000
2004-05,Houston Rockets,Clarence Weatherspoon,5899400
2004-05,Houston Rockets,Juwan Howard,5408700
2004-05,Houston Rockets,Dikembe Mutombo,4496434
2004-05,Houston Rockets,Yao Ming,4436880
2004-05,Houston Rockets,Matt Maloney,3237500
2004-05,Houston Rockets,Bob Sura,3200000
2004-05,Houston Rockets,Jim Jackson,2420000
2004-05,Houston Rockets,Charlie Ward,1700000
2004-05,Houston Rockets,Tyronn Lue,1600000
2004-05,Houston Rockets,Bostjan Nachbar,1493880
2004-05,Houston Rockets,Reece Gaines,1454640
2004-05,Houston Rockets,Scott Padgett,807546
2004-05,Houston Rockets,Ryan Bowen,807046
2004-05,Houston Rockets,Andre Barrett,385277
2004-05,Indiana Pacers,Jermaine O'Neal,14796000
2004-05,Indiana Pacers,Austin Croshere,8260000
2004-05,Indiana Pacers,Jonathan Bender,6525000
2004-05,Indiana Pacers,Metta World Peace,6157895
2004-05,Indiana Pacers,Scot Pollard,5792250
2004-05,Indiana Pacers,Reggie Miller,5500000
2004-05,Indiana Pacers,Stephen Jackson,5100000
2004-05,Indiana Pacers,Jeff Foster,4500000
2004-05,Indiana Pacers,Anthony Johnson,2200000
2004-05,Indiana Pacers,Fred Jones,1572480
2004-05,Indiana Pacers,Jamaal Tinsley,1554326
2004-05,Indiana Pacers,Michael Curry,845122
2004-05,Indiana Pacers,David Harrison,835560
2004-05,Indiana Pacers,Eddie Gill,720046
2004-05,Indiana Pacers,James Jones,620046
2004-05,Indiana Pacers,Marcus Haislip,576380
2004-05,Indiana Pacers,John Edwards,385277
2004-05,Indiana Pacers,Tremaine Fowlkes,79029
2004-05,Indiana Pacers,Britton Johnsen,45369
2004-05,Los Angeles Clippers,Elton Brand,12056000
2004-05,Los Angeles Clippers,Kerry Kittles,9566667
2004-05,Los Angeles Clippers,Corey Maggette,7000000
2004-05,Los Angeles Clippers,Shaun Livingston,3027840
2004-05,Los Angeles Clippers,Chris Kaman,2574240
2004-05,Los Angeles Clippers,Zeljko Rebraca,2500000
2004-05,Los Angeles Clippers,Chris Wilcox,2210880
2004-05,Los Angeles Clippers,Marko Jaric,2100000
2004-05,Los Angeles Clippers,Rick Brunson,932546
2004-05,Los Angeles Clippers,Mikki Moore,870046
2004-05,Los Angeles Clippers,Bobby Simmons,825000
2004-05,Los Angeles Clippers,Mamadou N'Diaye,750000
2004-05,Los Angeles Clippers,Quinton Ross,620046
2004-05,Los Angeles Clippers,Lionel Chalmers,450000
2004-05,Los Angeles Lakers,Kobe Bryant,14175000
2004-05,Los Angeles Lakers,Brian Grant,13233434
2004-05,Los Angeles Lakers,Lamar Odom,10548596
2004-05,Los Angeles Lakers,Vlade Divac,4903000
2004-05,Los Angeles Lakers,Devean George,4546000
2004-05,Los Angeles Lakers,Chucky Atkins,4200000
2004-05,Los Angeles Lakers,Chris Mihm,3371393
2004-05,Los Angeles Lakers,Stanislav Medvedenko,3000000
2004-05,Los Angeles Lakers,Caron Butler,1930680
2004-05,Los Angeles Lakers,Jumaine Jones,1687500
2004-05,Los Angeles Lakers,Brian Cook,971160
2004-05,Los Angeles Lakers,Sasha Vujacic,846840
2004-05,Los Angeles Lakers,Tierre Brown,720046
2004-05,Los Angeles Lakers,Luke Walton,620046
2004-05,Los Angeles Lakers,Tony Bobbitt,305403
2004-05,Memphis Grizzlies,Bonzi Wells,7700000
2004-05,Memphis Grizzlies,Lorenzen Wright,7150000
2004-05,Memphis Grizzlies,Jason Williams,6875000
2004-05,Memphis Grizzlies,Bo Outlaw,6573148
2004-05,Memphis Grizzlies,Mike Miller,6000000
2004-05,Memphis Grizzlies,Stromile Swift,5993105
2004-05,Memphis Grizzlies,James Posey,5408700
2004-05,Memphis Grizzlies,Brian Cardinal,4903000
2004-05,Memphis Grizzlies,Pau Gasol,4318481
2004-05,Memphis Grizzlies,Shane Battier,3212402
2004-05,Memphis Grizzlies,Jake Tsakalidis,2900000
2004-05,Memphis Grizzlies,Earl Watson,1458000
2004-05,Memphis Grizzlies,Troy Bell,1381920
2004-05,Memphis Grizzlies,Ryan Humphrey,1223160
2004-05,Memphis Grizzlies,Dahntay Jones,1143360
2004-05,Memphis Grizzlies,Andre Emmett,385277
2004-05,Memphis Grizzlies,Antonio Burks,385277
2004-05,Miami Heat,Shaquille O'Neal,27696430
2004-05,Miami Heat,Eddie Jones,13455000
2004-05,Miami Heat,Dwyane Wade,2834160
2004-05,Miami Heat,Damon Jones,2503000
2004-05,Miami Heat,Michael Doleac,2400000
2004-05,Miami Heat,Malik Allen,1950625
2004-05,Miami Heat,Wesley Person,1600000
2004-05,Miami Heat,Rasual Butler,1200000
2004-05,Miami Heat,Dorell Wright,1152240
2004-05,Miami Heat,Christian Laettner,1100000
2004-05,Miami Heat,Shandon Anderson,873699
2004-05,Miami Heat,Keyon Dooling,745046
2004-05,Miami Heat,Wang Zhizhi,745046
2004-05,Miami Heat,Jerome Beasley,620046
2004-05,Miami Heat,Udonis Haslem,620046
2004-05,Miami Heat,Matt Freije,28191
2004-05,Milwaukee Bucks,Keith Van Horn,14487000
2004-05,Milwaukee Bucks,Desmond Mason,6529630
2004-05,Milwaukee Bucks,Joe Smith,5899400
2004-05,Milwaukee Bucks,Anthony Mason,4710435
2004-05,Milwaukee Bucks,Jason Caffey,4148148
2004-05,Milwaukee Bucks,Mike James,3100000
2004-05,Milwaukee Bucks,Michael Redd,3000000
2004-05,Milwaukee Bucks,Toni Kukoc,3000000
2004-05,Milwaukee Bucks,T.J. Ford,2152800
2004-05,Milwaukee Bucks,Erick Strickland,1650000
2004-05,Milwaukee Bucks,Mo Williams,1600000
2004-05,Milwaukee Bucks,Marcus Haislip,1400000
2004-05,Milwaukee Bucks,Daniel Santiago,1320000
2004-05,Milwaukee Bucks,Kendall Gill,912195
2004-05,Milwaukee Bucks,Zendon Hamilton,807546
2004-05,Milwaukee Bucks,Marcus Fizer,735960
2004-05,Milwaukee Bucks,Dan Gadzuric,695046
2004-05,Milwaukee Bucks,Zaza Pachulia,620046
2004-05,Milwaukee Bucks,Eddie House,563327
2004-05,Milwaukee Bucks,Anthony Goldwire,116713
2004-05,Minnesota Timberwolves,Kevin Garnett,16000000
2004-05,Minnesota Timberwolves,Latrell Sprewell,14625000
2004-05,Minnesota Timberwolves,Wally Szczerbiak,9000000
2004-05,Minnesota Timberwolves,Sam Cassell,6250000
2004-05,Minnesota Timberwolves,Michael Olowokandi,5408700
2004-05,Minnesota Timberwolves,Troy Hudson,4903000
2004-05,Minnesota Timberwolves,Ervin Johnson,4837633
2004-05,Minnesota Timberwolves,Trenton Hassell,4350000
2004-05,Minnesota Timberwolves,Fred Hoiberg,1600000
2004-05,Minnesota Timberwolves,Ndudi Ebi,901440
2004-05,Minnesota Timberwolves,Anthony Carter,807546
2004-05,Minnesota Timberwolves,Mark Madsen,745046
2004-05,Minnesota Timberwolves,Eddie Griffin,695046
2004-05,New Jersey Nets,Dikembe Mutombo,14989285
2004-05,New Jersey Nets,Jason Kidd,14796000
2004-05,New Jersey Nets,Vince Carter,12584688
2004-05,New Jersey Nets,Richard Jefferson,2266794
2004-05,New Jersey Nets,Jason Collins,1887864
2004-05,New Jersey Nets,Ron Mercer,1600000
2004-05,New Jersey Nets,Zoran Planinic,1053720
2004-05,New Jersey Nets,Travis Best,1000000
2004-05,New Jersey Nets,Nenad Krstic,939480
2004-05,New Jersey Nets,Jacque Vaughn,932546
2004-05,New Jersey Nets,Brian Scalabrine,900000
2004-05,New Jersey Nets,Rodney Buford,745046
2004-05,New Jersey Nets,Jabari Smith,720046
2004-05,New Jersey Nets,Kaniel Dickens,483938
2004-05,New Jersey Nets,Awvee Storey,84573
2004-05,New Orleans Hornets,Baron Davis,12330000
2004-05,New Orleans Hornets,Jamal Mashburn,9300000
2004-05,New Orleans Hornets,Jamaal Magloire,8533333
2004-05,New Orleans Hornets,P.J. Brown,8000000
2004-05,New Orleans Hornets,David Wesley,4455000
2004-05,New Orleans Hornets,George Lynch,3000000
2004-05,New Orleans Hornets,Rodney Rogers,2700000
2004-05,New Orleans Hornets,Chris Andersen,1600000
2004-05,New Orleans Hornets,David West,1247160
2004-05,New Orleans Hornets,J.R. Smith,1206600
2004-05,New Orleans Hornets,Dan Dickau,893400
2004-05,New Orleans Hornets,Lee Nailon,745046
2004-05,New Orleans Hornets,Junior Harrington,695046
2004-05,New Orleans Hornets,Alex Garcia,620046
2004-05,New Orleans Hornets,Lonny Baxter,542475
2004-05,New Orleans Hornets,Matt Freije,352388
2004-05,New Orleans Hornets,Corsley Edwards,319498
2004-05,New Orleans Hornets,Tim Pickett,32890
2004-05,New York Knicks,Allan Houston,17531250
2004-05,New York Knicks,Anfernee Hardaway,14625000
2004-05,New York Knicks,Stephon Marbury,14625000
2004-05,New York Knicks,Tim Thomas,12900000
2004-05,New York Knicks,Shandon Anderson,7300000
2004-05,New York Knicks,Jerome Williams,6187500
2004-05,New York Knicks,Kurt Thomas,5884500
2004-05,New York Knicks,Jamal Crawford,5760000
2004-05,New York Knicks,Nazr Mohammed,5250000
2004-05,New York Knicks,Moochie Norris,3850000
2004-05,New York Knicks,Vin Baker,3500000
2004-05,New York Knicks,Mike Sweetney,1978920
2004-05,New York Knicks,John Amaechi,1200000
2004-05,New York Knicks,Bruno Sundov,870046
2004-05,New York Knicks,Jamison Brewer,720046
2004-05,New York Knicks,Trevor Ariza,385277
2004-05,Orlando Magic,Grant Hill,14487000
2004-05,Orlando Magic,Steve Francis,12330000
2004-05,Orlando Magic,Kelvin Cato,7992000
2004-05,Orlando Magic,Cuttino Mobley,5884500
2004-05,Orlando Magic,Hedo Turkoglu,4903000
2004-05,Orlando Magic,Tony Battie,4800000
2004-05,Orlando Magic,Dwight Howard,4179720
2004-05,Orlando Magic,Pat Garrity,2937500
2004-05,Orlando Magic,Andrew DeClercq,2500000
2004-05,Orlando Magic,DeShawn Stevenson,2500000
2004-05,Orlando Magic,Jameer Nelson,1106160
2004-05,Orlando Magic,Stacey Augmon,1100000
2004-05,Orlando Magic,Michael Bradley,720046
2004-05,Orlando Magic,Brandon Hunter,620046
2004-05,Orlando Magic,Mario Kasun,385277
2004-05,Philadelphia 76ers,Allen Iverson,14625000
2004-05,Philadelphia 76ers,Glenn Robinson,12071250
2004-05,Philadelphia 76ers,Kenny Thomas,6000000
2004-05,Philadelphia 76ers,Todd MacCulloch,5899400
2004-05,Philadelphia 76ers,Aaron McKie,5500000
2004-05,Philadelphia 76ers,Corliss Williamson,5500000
2004-05,Philadelphia 76ers,Brian Skinner,4500000
2004-05,Philadelphia 76ers,Marc Jackson,4225000
2004-05,Philadelphia 76ers,Kevin Ollie,2704350
2004-05,Philadelphia 76ers,Kedrick Brown,2332388
2004-05,Philadelphia 76ers,Andre Iguodala,1914480
2004-05,Philadelphia 76ers,Greg Buckner,1777778
2004-05,Philadelphia 76ers,Samuel Dalembert,1599549
2004-05,Philadelphia 76ers,John Salmons,925680
2004-05,Philadelphia 76ers,Josh Davis,620046
2004-05,Philadelphia 76ers,Kyle Korver,620046
2004-05,Philadelphia 76ers,Willie Green,620046
2004-05,Philadelphia 76ers,Efthimi Rentzias,516865
2004-05,Phoenix Suns,Shawn Marion,12330000
2004-05,Phoenix Suns,Steve Nash,8750000
2004-05,Phoenix Suns,Quentin Richardson,5800000
2004-05,Phoenix Suns,Howard Eisley,5201923
2004-05,Phoenix Suns,Joe Johnson,2358954
2004-05,Phoenix Suns,Amar'e Stoudemire,2032200
2004-05,Phoenix Suns,Jake Voskuhl,1687500
2004-05,Phoenix Suns,Zarko Cabarkapa,1312800
2004-05,Phoenix Suns,Casey Jacobsen,1082160
2004-05,Phoenix Suns,Bo Outlaw,1059756
2004-05,Phoenix Suns,Maciej Lampe,900000
2004-05,Phoenix Suns,Leandro Barbosa,870000
2004-05,Phoenix Suns,Steven Hunter,720046
2004-05,Phoenix Suns,Jackson Vroman,385277
2004-05,Phoenix Suns,Yuta Tabuse,108066
2004-05,Portland Trailblazers,Shareef Abdur-Rahim,14625000
2004-05,Portland Trailblazers,Damon Stoudamire,12500000
2004-05,Portland Trailblazers,Nick Van Exel,11933252
2004-05,Portland Trailblazers,Theo Ratliff,10937500
2004-05,Portland Trailblazers,Derek Anderson,8443500
2004-05,Portland Trailblazers,Darius Miles,6750000
2004-05,Portland Trailblazers,Ruben Patterson,5899400
2004-05,Portland Trailblazers,Arvydas Sabonis,3000000
2004-05,Portland Trailblazers,Sebastian Telfair,1559280
2004-05,Portland Trailblazers,Zach Randolph,1504272
2004-05,Portland Trailblazers,Joel Przybilla,1500000
2004-05,Portland Trailblazers,Qyntel Woods,1127280
2004-05,Portland Trailblazers,Vladimir Stepania,1100000
2004-05,Portland Trailblazers,Viktor Khryapa,1019400
2004-05,Portland Trailblazers,Travis Outlaw,1011600
2004-05,Portland Trailblazers,Richie Frahm,695046
2004-05,Portland Trailblazers,Geno Carlisle,65779
2004-05,Sacramento Kings,Chris Webber,17531250
2004-05,Sacramento Kings,Mike Bibby,10500000
2004-05,Sacramento Kings,Brad Miller,7875000
2004-05,Sacramento Kings,Doug Christie,7550000
2004-05,Sacramento Kings,Peja Stojakovic,6875000
2004-05,Sacramento Kings,Greg Ostertag,4000000
2004-05,Sacramento Kings,Bobby Jackson,3150000
2004-05,Sacramento Kings,Darius Songaila,1600000
2004-05,Sacramento Kings,Kevin Martin,872040
2004-05,Sacramento Kings,Matt Barnes,695046
2004-05,Sacramento Kings,Maurice Evans,695046
2004-05,Sacramento Kings,Erik Daniels,385277
2004-05,Sacramento Kings,Courtney Alexander,79029
2004-05,San Antonio Spurs,Tim Duncan,14260641
2004-05,San Antonio Spurs,Manu Ginobili,6603500
2004-05,San Antonio Spurs,Rasho Nesterovic,6160000
2004-05,San Antonio Spurs,Malik Rose,5462500
2004-05,San Antonio Spurs,Brent Barry,4264900
2004-05,San Antonio Spurs,Bruce Bowen,3000000
2004-05,San Antonio Spurs,Tony Parker,1545441
2004-05,San Antonio Spurs,Robert Horry,1100000
2004-05,San Antonio Spurs,Tony Massenburg,1100000
2004-05,San Antonio Spurs,Beno Udrih,841680
2004-05,San Antonio Spurs,Sean Marks,745046
2004-05,San Antonio Spurs,Mike Wilks,720046
2004-05,San Antonio Spurs,Devin Brown,695046
2004-05,San Antonio Spurs,Linton Johnson,620046
2004-05,San Antonio Spurs,Romain Sato,385277
2004-05,Seattle SuperSonics,Ray Allen,14625000
2004-05,Seattle SuperSonics,Rashard Lewis,7792208
2004-05,Seattle SuperSonics,Vitaly Potapenko,6191250
2004-05,Seattle SuperSonics,Danny Fortson,5818136
2004-05,Seattle SuperSonics,Jerome James,5455200
2004-05,Seattle SuperSonics,Vladimir Radmanovic,2300984
2004-05,Seattle SuperSonics,Antonio Daniels,2200000
2004-05,Seattle SuperSonics,Nick Collison,1969680
2004-05,Seattle SuperSonics,Robert Swift,1641360
2004-05,Seattle SuperSonics,Ibo Kutluay,1600000
2004-05,Seattle SuperSonics,Luke Ridnour,1531200
2004-05,Seattle SuperSonics,Reggie Evans,880000
2004-05,Seattle SuperSonics,Mateen Cleaves,735960
2004-05,Seattle SuperSonics,Ronald Murray,695046
2004-05,Seattle SuperSonics,Damien Wilkins,385277
2004-05,Toronto Raptors,Jalen Rose,14487000
2004-05,Toronto Raptors,Alvin Williams,5850000
2004-05,Toronto Raptors,Alonzo Mourning,5408700
2004-05,Toronto Raptors,Donyell Marshall,5023850
2004-05,Toronto Raptors,Lamond Murray,4875000
2004-05,Toronto Raptors,Morris Peterson,4400000
2004-05,Toronto Raptors,Aaron Williams,3790257
2004-05,Toronto Raptors,Eric Williams,3580000
2004-05,Toronto Raptors,Rafer Alston,3500000
2004-05,Toronto Raptors,Chris Bosh,3129720
2004-05,Toronto Raptors,Rafael Araujo,2082720
2004-05,Toronto Raptors,Jerome Moiso,1760000
2004-05,Toronto Raptors,Nate Huffman,1280000
2004-05,Toronto Raptors,Milt Palacio,807546
2004-05,Toronto Raptors,Loren Woods,755000
2004-05,Toronto Raptors,Matt Bonner,385277
2004-05,Toronto Raptors,Pape Sow,385277
2004-05,Toronto Raptors,Roger Mason,203428
2004-05,Utah Jazz,Carlos Boozer,10967500
2004-05,Utah Jazz,Mehmet Okur,7500000
2004-05,Utah Jazz,Matt Harpring,4690000
2004-05,Utah Jazz,Carlos Arroyo,4000000
2004-05,Utah Jazz,Gordan Giricek,4000000
2004-05,Utah Jazz,Jarron Collins,1700000
2004-05,Utah Jazz,Andrei Kirilenko,1671694
2004-05,Utah Jazz,Kris Humphries,1481400
2004-05,Utah Jazz,Kirk Snyder,1336920
2004-05,Utah Jazz,Raja Bell,1320000
2004-05,Utah Jazz,Curtis Borchardt,1280880
2004-05,Utah Jazz,Howard Eisley,1100000
2004-05,Utah Jazz,Raul Lopez,997320
2004-05,Utah Jazz,Keith McLeod,750000
2004-05,Utah Jazz,Aleksandar Radojevic,720046
2004-05,Washington Wizards,Antawn Jamison,12584688
2004-05,Washington Wizards,Gilbert Arenas,9389600
2004-05,Washington Wizards,Larry Hughes,5455200
2004-05,Washington Wizards,Kwame Brown,5361873
2004-05,Washington Wizards,Etan Thomas,4903000
2004-05,Washington Wizards,Jarvis Hayes,1879920
2004-05,Washington Wizards,Jared Jeffries,1834080
2004-05,Washington Wizards,Brendan Haywood,1735305
2004-05,Washington Wizards,Anthony Peeler,1600000
2004-05,Washington Wizards,Juan Dixon,1348200
2004-05,Washington Wizards,Samaki Walker,995046
2004-05,Washington Wizards,Laron Profit,745046
2004-05,Washington Wizards,Michael Ruffin,745046
2004-05,Washington Wizards,Steve Blake,620046
2004-05,Washington Wizards,Peter John Ramos,600000
2003-04,Atlanta Hawks,Shareef Abdur-Rahim,13500000
2003-04,Atlanta Hawks,Terrell Brandon,11100000
2003-04,Atlanta Hawks,Theo Ratliff,10156250
2003-04,Atlanta Hawks,Jason Terry,8333333
2003-04,Atlanta Hawks,Alan Henderson,7682188
2003-04,Atlanta Hawks,Nazr Mohammed,5000000
2003-04,Atlanta Hawks,Chris Crawford,3000000
2003-04,Atlanta Hawks,Boris Diaw,1021080
2003-04,Atlanta Hawks,Dion Glover,1000000
2003-04,Atlanta Hawks,Stephen Jackson,1000000
2003-04,Atlanta Hawks,Dan Dickau,835200
2003-04,Atlanta Hawks,Jacque Vaughn,813679
2003-04,Atlanta Hawks,Obinna Ekezie,688679
2003-04,Atlanta Hawks,Travis Hansen,366931
2003-04,Boston Celtics,Vin Baker,13500000
2003-04,Boston Celtics,Paul Pierce,11326219
2003-04,Boston Celtics,Raef LaFrentz,8178750
2003-04,Boston Celtics,Chris Mills,6600000
2003-04,Boston Celtics,Ricky Davis,5000600
2003-04,Boston Celtics,Michael Stewart,4480000
2003-04,Boston Celtics,Chris Mihm,2809494
2003-04,Boston Celtics,Jumaine Jones,1500000
2003-04,Boston Celtics,Marcus Banks,1499400
2003-04,Boston Celtics,Jiri Welsch,1326600
2003-04,Boston Celtics,Walter McCarty,1200000
2003-04,Boston Celtics,Mark Blount,944922
2003-04,Boston Celtics,Kendrick Perkins,814320
2003-04,Boston Celtics,Mike James,638679
2003-04,Boston Celtics,Brandon Hunter,366931
2003-04,Chicago Bulls,Antonio Davis,12925000
2003-04,Chicago Bulls,Eddie Robinson,6204000
2003-04,Chicago Bulls,Jerome Williams,5987500
2003-04,Chicago Bulls,Scottie Pippen,4917000
2003-04,Chicago Bulls,Tyson Chandler,3804360
2003-04,Chicago Bulls,Marcus Fizer,3726994
2003-04,Chicago Bulls,Jay Williams,3710880
2003-04,Chicago Bulls,Eddy Curry,3080160
2003-04,Chicago Bulls,Jamal Crawford,2577937
2003-04,Chicago Bulls,Kirk Hinrich,2185920
2003-04,Chicago Bulls,Corie Blount,1680000
2003-04,Chicago Bulls,Dalibor Bagaric,1599076
2003-04,Chicago Bulls,Kendall Gill,1070000
2003-04,Chicago Bulls,Chris Jefferies,840360
2003-04,Chicago Bulls,Rick Brunson,813679
2003-04,Chicago Bulls,Linton Johnson,366931
2003-04,Cleveland Cavaliers,Zydrunas Ilgauskas,13500000
2003-04,Cleveland Cavaliers,Eric Williams,5540000
2003-04,Cleveland Cavaliers,Tony Battie,4400000
2003-04,Cleveland Cavaliers,Darius Miles,4130701
2003-04,Cleveland Cavaliers,LeBron James,4018920
2003-04,Cleveland Cavaliers,Dajuan Wagner,2471280
2003-04,Cleveland Cavaliers,Ira Newble,2458500
2003-04,Cleveland Cavaliers,Kevin Ollie,2458500
2003-04,Cleveland Cavaliers,DeSagana Diop,2118840
2003-04,Cleveland Cavaliers,Kedrick Brown,1757640
2003-04,Cleveland Cavaliers,Bimbo Coles,1050000
2003-04,Cleveland Cavaliers,Bruno Sundov,751159
2003-04,Cleveland Cavaliers,Carlos Boozer,563679
2003-04,Cleveland Cavaliers,J.R. Bremer,563679
2003-04,Cleveland Cavaliers,Jason Kapono,366931
2003-04,Cleveland Cavaliers,Jelani McCoy,36643
2003-04,Dallas Mavericks,Antoine Walker,13500000
2003-04,Dallas Mavericks,Michael Finley,13281250
2003-04,Dallas Mavericks,Antawn Jamison,11326219
2003-04,Dallas Mavericks,Dirk Nowitzki,11326219
2003-04,Dallas Mavericks,Tariq Abdul-Wahad,6187500
2003-04,Dallas Mavericks,Steve Nash,5750000
2003-04,Dallas Mavericks,Danny Fortson,5428602
2003-04,Dallas Mavericks,Shawn Bradley,3500000
2003-04,Dallas Mavericks,Eduardo Najera,3428572
2003-04,Dallas Mavericks,Tony Delk,2925000
2003-04,Dallas Mavericks,Travis Best,938679
2003-04,Dallas Mavericks,Josh Howard,773400
2003-04,Dallas Mavericks,Muggsy Bogues,437420
2003-04,Dallas Mavericks,Jon Stefansson,366931
2003-04,Dallas Mavericks,Marquis Daniels,366931
2003-04,Denver Nuggets,Andre Miller,8000000
2003-04,Denver Nuggets,Marcus Camby,7250000
2003-04,Denver Nuggets,Carmelo Anthony,3229200
2003-04,Denver Nuggets,Jon Barry,3000000
2003-04,Denver Nuggets,Nikoloz Tskitishvili,2720760
2003-04,Denver Nuggets,Earl Boykins,2500000
2003-04,Denver Nuggets,Cory Alexander,2302778
2003-04,Denver Nuggets,Nene Hilario,2102840
2003-04,Denver Nuggets,Rodney White,1947600
2003-04,Denver Nuggets,Mark Jackson,1500000
2003-04,Denver Nuggets,Ryan Bowen,1250000
2003-04,Denver Nuggets,Voshon Lenard,1200000
2003-04,Denver Nuggets,Mark Pope,751179
2003-04,Denver Nuggets,Chris Andersen,638679
2003-04,Denver Nuggets,Jeff Trepagnier,638679
2003-04,Denver Nuggets,Francisco Elson,366931
2003-04,Detroit Pistons,Richard Hamilton,6500000
2003-04,Detroit Pistons,Bob Sura,6266666
2003-04,Detroit Pistons,Ben Wallace,5500000
2003-04,Detroit Pistons,Chauncey Billups,5000600
2003-04,Detroit Pistons,Corliss Williamson,5000000
2003-04,Detroit Pistons,Zeljko Rebraca,4200000
2003-04,Detroit Pistons,Elden Campbell,4000000
2003-04,Detroit Pistons,Chucky Atkins,3900000
2003-04,Detroit Pistons,Darko Milicic,3595800
2003-04,Detroit Pistons,Lindsey Hunter,3000000
2003-04,Detroit Pistons,Hubert Davis,2956250
2003-04,Detroit Pistons,Mehmet Okur,1100000
2003-04,Detroit Pistons,Tayshaun Prince,971160
2003-04,Detroit Pistons,Darvin Ham,813679
2003-04,Detroit Pistons,Tremaine Fowlkes,638679
2003-04,Golden State Warriors,Nick Van Exel,11956625
2003-04,Golden State Warriors,Erick Dampier,7842000
2003-04,Golden State Warriors,Avery Johnson,5445600
2003-04,Golden State Warriors,Clifford Robinson,4700000
2003-04,Golden State Warriors,Adonal Foyle,4400000
2003-04,Golden State Warriors,Mike Dunleavy,3332520
2003-04,Golden State Warriors,Evan Eschmeyer,3017266
2003-04,Golden State Warriors,Speedy Claxton,3000000
2003-04,Golden State Warriors,Jason Richardson,2789280
2003-04,Golden State Warriors,Mickael Pietrus,1527946
